Date,Day,Location,Start Time,End Time,Game,Away Team,Home Team,Permit
05/06/2021,Thu,LW5,18:30,20:30,84,Ken's Market,Reuben's Brewers,06:00 PM - 08:30 PM
05/08/2021,Sat,Bayview Playground (Raye Field),13:00,15:00,86,Ken's Market,Goodman Racing,
05/08/2021,Sat,Dahl Playfield #3,11:00,13:15,20,NCLL Cube Smart Cats,NESLL Wolfpack,
05/08/2021,Sat,Dahl Playfield #3,14:00,16:15,23,NCLL Cheeto Sloths,Northeast #3,
05/08/2021,Sat,Ingraham High School - Softball Field,16:30,19:00,37,NCLL/QALL Reignmakers,NWLL Spicy Hens,
05/08/2021,Sat,LW3,11:30,13:30,21,RUGLL Alley Cats,NCLL Lightning Dogs,09:00 AM - 05:00 PM
05/08/2021,Sat,LW4,11:30,13:00,23,NCLL Bluebirds,NCLL Purple,09:00 AM - 05:00 PM
05/08/2021,Sat,LW4,14:00,16:00,91,TNT Taqueria,Morgan's Plumbing,09:00 AM - 05:00 PM
05/08/2021,Sat,LW5,11:30,13:30,52,NCLL Harjo Construction,NCLL Dynamite,09:00 AM - 05:00 PM
05/08/2021,Sat,LW5,14:00,16:00,88,Shore3,Rough Riders,09:00 AM - 05:00 PM
05/08/2021,Sat,LW6,11:30,13:30,53,MLL Phoenix,NCLL SantoriniDave.com,09:00 AM - 05:00 PM
05/08/2021,Sat,LW6,14:00,16:00,92,NW1,Greenwood Hardware,09:00 AM - 05:00 PM
05/08/2021,Sat,Lower Ross,11:00,12:30,22,BLL Phoenix,NCLL Koalas,09:00 AM - 05:00 PM
05/08/2021,Sat,Queen Anne Playfield 1,14:00,16:00,96,Seattle Stained Glass,Queen Anne Books,
05/08/2021,Sat,Soundview Field 4,12:30,15:00,90,Reuben's Brewers,NW2,
05/10/2021,Mon,LW6,18:15,20:00,41,NESLL/RUGLL Aces,NCLL/QALL Reignmakers,06:00 PM - 08:00 PM
05/11/2021,Tue,LW3,18:30,20:30,59,MLL Phoenix,NCLL Harjo Construction,06:00 PM - 09:00 PM
05/11/2021,Tue,LW6,18:30,20:30,98,NW2,Rough Riders,06:00 PM - 09:00 PM
05/11/2021,Tue,Magnolia Playfield #2,17:30,19:45,56,NCLL SantoriniDave.com,MLL Panthers,
05/12/2021,Wed,LW3,18:15,20:00,31,RUGLL Alley Cats,NCLL Cube Smart Cats,06:00 PM - 08:00 PM
05/12/2021,Wed,LW4,18:00,20:00,103,Royals,TNT Taqueria,06:00 PM - 08:15 PM
05/12/2021,Wed,LW5,18:00,20:00,104,Seattle Stained Glass,Greenwood Hardware,06:00 PM - 08:00 PM
05/12/2021,Wed,Lower Ross,17:30,19:45,27,NESLL Golden Girls,NCLL Lightning Dogs,05:00 PM - 07:30 PM
05/12/2021,Wed,Magnolia Playfield #2,17:30,20:00,42,NCLL/QALL Reignmakers,MLL Criminals,
05/12/2021,Wed,Maple Leaf 1,18:00,20:00,107,Morgan's Plumbing,Reds,
05/12/2021,Wed,Northacres Park #2,18:00,20:15,30,NCLL Cheeto Sloths,NWLL Ballard Pediatric Denistry,
05/13/2021,Thu,LW4,18:30,20:30,103,Reuben's Brewers,Rough Riders,06:00 PM - 08:30 PM
05/13/2021,Thu,LW5,18:30,20:30,104,Hornets,Ken's Market,06:00 PM - 08:30 PM
05/13/2021,Thu,Loyal Heights Playfield #2,18:15,20:30,60,NCLL Dynamite,BLL Devils,
05/15/2021,Sat,Dahl Playfield #3,11:00,13:15,33,NCLL Cube Smart Cats,Northeast #3,
05/15/2021,Sat,LW3,11:30,13:30,34,NCLL Lightning Dogs,NCLL Cheeto Sloths,09:00 AM - 05:00 PM
05/15/2021,Sat,LW4,11:30,13:00,33,MLL Montlake Partners,NCLL Purple,09:00 AM - 05:00 PM
05/15/2021,Sat,LW5,11:30,13:30,65,BLL Blazing Tigers,NCLL SantoriniDave.com,09:00 AM - 05:00 PM
05/15/2021,Sat,LW5,14:00,16:00,114,TNT Taqueria,Greenwood Hardware,09:00 AM - 05:00 PM
05/15/2021,Sat,LW5,14:00,16:00,113,Colliers,Rough Riders,09:00 AM - 05:00 PM
05/15/2021,Sat,LW6,11:30,13:30,47,SLL Strikers,NCLL/QALL Reignmakers,09:00 AM - 05:00 PM
05/15/2021,Sat,LW6,14:00,16:00,115,Ray's Boathouse,Morgan's Plumbing,09:00 AM - 05:00 PM
05/15/2021,Sat,Lower Ross,11:00,12:30,32,MLL W.G. Clark,NCLL Bluebirds,09:00 AM - 05:00 PM
05/15/2021,Sat,Magnolia Playfield #2,09:00,11:15,63,NCLL Harjo Construction,MLL Panthers,
05/15/2021,Sat,QA3,13:00,15:30,114,Ken's Market,Best Plumbing,
05/15/2021,Sat,Soundview 4,12:00,15:00,116,Seattle Stained Glass,NW1,
05/15/2021,Sat,West Queen Anne Playfield #2,12:15,14:00,34,NCLL Koalas,QALL Golden Phoenix,
05/15/2021,Sat,West Queen Anne Playfield #2,14:15,16:15,67,NCLL Dynamite,QALL Phoenix,
05/17/2021,Mon,Gilman Playfield #2,17:45,20:00,49,NCLL/QALL Reignmakers,BLL Blue Thunder,
05/18/2021,Tue,Gilman Playfield #1,17:45,20:00,70,NCLL Dynamite,BLL Blazing Tigers,
05/18/2021,Tue,LW3,18:30,20:30,122,Ken's Market,Rough Riders,06:00 PM - 09:00 PM
05/18/2021,Tue,LW5,18:15,20:15,75,NCLL Harjo Construction,NCLL SantoriniDave.com,06:00 PM - 08:15 PM
05/18/2021,Tue,LW6,18:30,20:30,123,Best Plumbing,Reuben's Brewers,06:00 PM - 09:00 PM
