Game,Day,Date,Location,Game Start,Game End,Away,Home,
35,Saturday,5/15/2021,Jane Adams Playfield - Lower,1:00 PM,2:45 PM,RUGLL Dragonflies,NESLL Softball Snakes,
189,Saturday,5/15/2021,Northshore Athletic Fields #7,1:00 PM,3:00 PM,WLL Cowgirls,NLL Pink Panthers,
36,Saturday,5/15/2021,Lawton Park,2:00 PM,3:45 PM,QALL Tiger Lillies,MLL Firehawks,
190,Saturday,5/15/2021,Moorlands Park,2:00 PM,4:00 PM,NSLL Thunder,NLL Sharpe,
192,Saturday,5/15/2021,Northshore Athletic Fields #6,3:30 PM,5:30 PM,WLL Mudhens,NSLL Storm,
,,,,,,,,
37,Saturday,5/22/2021,Ravenna Park #1,9:15 AM,11:00 AM,NESLL Bulldogs,RUGLL Dragonflies,
38,Saturday,5/22/2021,West Queen Anne Playfield #2,10:15 AM,12:00 PM,MLL Montlake Partners,QALL Tiger Lillies,
202,Saturday,5/22/2021,Northshore Athletic Fields #7,10:30 AM,12:30 PM,NBLL Huskies,WLL Jackrabbits,
39,Saturday,5/22/2021,Jane Adams Playfield - Lower,11:00 AM,12:45 PM,RUGLL Fireflies,NESLL Softball Snakes,
40,Saturday,5/22/2021,Lower Woodland Playfield #6,2:00 PM,3:45 PM,NCLL Koalas,NCLL Bluebirds,
41,Saturday,5/22/2021,Lawton Park,11:30 AM,1:30 PM,MLL Firehawks,MLL W.G. Clark,
203,Saturday,5/22/2021,North Creek Sports Field #3,11:30 AM,2:00 PM,NLL Pink Panthers,NBLL Cheetahs,
42,Saturday,5/22/2021,West Queen Anne Playfield #2,12:15 PM,2:00 PM,QALL Thunder Cheetahs,QALL Golden Phoenix,
43,Saturday,5/22/2021,Jane Adams Playfield - Lower,1:00 PM,2:45 PM,RUGLL Bees,NESLL Super Girls,
204,Saturday,5/22/2021,Northshore Athletic Fields #7,1:00 PM,3:00 PM,NLL Sharpe,WLL Mudhens,
