Game,Day,Date,Location,Game Start,Game End,Away,Home,Umpire #1 (Home Plate),Umpire #2 (Field),,,,,,,,,
83,Saturday,5/22/2021,Maple Leaf Playfield #2,2:00 PM,4:00 PM,NESLL Thunder Sisters,RUGLL Raptors,,,,,,,,,,,
84,Saturday,5/22/2021,Laurelhurst Playfield #1,3:00 PM,5:15 PM,NWLL Purple Thunder,NESLL Blue Angels,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
85,Tuesday,5/25/2021,Loyal Heights Playfield #2,5:45 PM,8:00 PM,MLL Phoenix,BLL Blazing Tigers,,,,,,,,,,,
86,Tuesday,5/25/2021,Dahl Playfield #3,6:00 PM,8:15 PM,NESLL Thunder Sisters,NESLL Blue Angels,,,,,,,,,,,
87,Tuesday,5/25/2021,Garfield Playfield #2,6:00 PM,8:15 PM,NWLL Purple Thunder,SCLL Redwings,,,,,,,,,,,
88,Tuesday,5/25/2021,Maple Leaf Playfield #2,6:00 PM,8:15 PM,RUGLL Ravens,RUGLL Raptors,,,,,,,,,,,
89,Tuesday,5/25/2021,Lower Woodland Playfield #3,6:30 PM,8:30 PM,BLL Devils,NCLL Harjo Construction,,,,,,,,,,,
90,Thursday,5/27/2021,Magnolia Playfield #2,5:30 PM,7:45 PM,NCLL Dynamite,MLL Panthers,,,,,,,,,,,
91,Thursday,5/27/2021,Dahl Playfield #3,6:00 PM,8:15 PM,RUGLL Ravens,NESLL Blue Angels,,,,,,,,,,,
92,Thursday,5/27/2021,Judkins Park #2,6:00 PM,8:15 PM,RUGLL Raptors,SCLL Redwings,,,,,,,,,,,
93,Thursday,5/27/2021,Northacres Park #2,6:00 PM,8:15 PM,NESLL Thunder Sisters,NWLL Purple Thunder,Umpires NW,Umpires NW,4/7 - Changed from Ingraham High School due to a scheduling conflict,,,,,,,,
94,Thursday,5/27/2021,Lower Woodland Playfield #4,6:15 PM,8:00 PM,QALL Phoenix,NCLL SantoriniDave.com,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
